kernelName,size,threads,blocks,kernelRuntimePercent,kernelRuntimeTime,memcpyHtoDPercent,memcpyHtoDTime,memcpyDtoHPercent,memcpyDtoHTime
dgemv,1024,32,1024,0.00%,2.0000us,,,,
dgemv,1024,32,128,0.00%,2.2000us,,,,
dgemv,1024,32,16,0.00%,1.2000us,,,,
dgemv,1024,32,2048,0.00%,1.7000us,,,,
dgemv,1024,32,256,0.00%,1.3000us,,,,
dgemv,1024,32,32,0.00%,1.6000us,,,,
dgemv,1024,32,4096,0.00%,1.2000us,,,,
dgemv,1024,32,512,0.00%,1.8000us,,,,
dgemv,1024,32,64,0.00%,2.2000us,,,,
dgemv,1024,32,8192,0.00%,2.1000us,,,,
dgemv,128,32,1024,0.00%,2.1000us,,,,
dgemv,128,32,128,0.00%,1.4000us,,,,
dgemv,128,32,16,0.00%,1.5000us,,,,
dgemv,128,32,2048,0.00%,2.3000us,,,,
dgemv,128,32,256,0.00%,1.6000us,,,,
dgemv,128,32,32,0.00%,1.5000us,,,,
dgemv,128,32,4096,0.00%,1.7000us,,,,
dgemv,128,32,512,0.00%,1.6000us,,,,
dgemv,128,32,64,0.00%,1.6000us,,,,
dgemv,128,32,8192,0.00%,1.6000us,,,,
dgemv,4,32,1024,0.00%,2.1000us,,,,
dgemv,4,32,128,0.00%,2.4000us,,,,
dgemv,4,32,16,0.00%,2.3000us,,,,
dgemv,4,32,2048,0.00%,1.8000us,,,,
dgemv,4,32,256,0.00%,2.0000us,,,,
dgemv,4,32,32,0.00%,1.6000us,,,,
dgemv,4,32,4096,0.00%,2.2000us,,,,
dgemv,4,32,512,0.00%,2.6000us,,,,
dgemv,4,32,64,0.00%,2.0000us,,,,
dgemv,4,32,8192,0.00%,1.6000us,,,,
matAdd,1024,32,1024,0.00%,2.6000us,,,,
matAdd,1024,32,128,0.00%,2.1000us,,,,
matAdd,1024,32,16,0.00%,1.4000us,,,,
matAdd,1024,32,2048,0.00%,1.2000us,,,,
matAdd,1024,32,256,0.00%,1.7000us,,,,
matAdd,1024,32,32,0.00%,2.0000us,,,,
matAdd,1024,32,4096,0.00%,2.2000us,,,,
matAdd,1024,32,512,0.00%,1.5000us,,,,
matAdd,1024,32,64,0.00%,1.4000us,,,,
matAdd,1024,32,8192,0.00%,2.2000us,,,,
matAdd,128,32,1024,0.00%,1.6000us,,,,
matAdd,128,32,128,0.00%,1.6000us,,,,
matAdd,128,32,16,0.00%,1.9000us,,,,
matAdd,128,32,2048,0.00%,2.4000us,,,,
matAdd,128,32,256,0.00%,1.8000us,,,,
matAdd,128,32,32,0.00%,1.8000us,,,,
matAdd,128,32,4096,0.00%,1.9000us,,,,
matAdd,128,32,512,0.00%,1.7000us,,,,
matAdd,128,32,64,0.00%,2.0000us,,,,
matAdd,128,32,8192,0.00%,2.0000us,,,,
matAdd,4,32,1024,0.00%,1.6000us,,,,
matAdd,4,32,128,0.00%,1.2000us,,,,
matAdd,4,32,16,0.00%,1.4000us,,,,
matAdd,4,32,2048,0.00%,2.4000us,,,,
matAdd,4,32,256,0.00%,1.9000us,,,,
matAdd,4,32,32,0.00%,1.5000us,,,,
matAdd,4,32,4096,0.00%,2.6000us,,,,
matAdd,4,32,512,0.00%,1.3000us,,,,
matAdd,4,32,64,0.00%,2.0000us,,,,
matAdd,4,32,8192,0.00%,1.8000us,,,,
matAddCol,1024,32,1024,0.00%,2.1000us,,,,
matAddCol,1024,32,128,0.00%,2.1000us,,,,
matAddCol,1024,32,16,0.00%,2.2000us,,,,
matAddCol,1024,32,2048,0.00%,1.4000us,,,,
matAddCol,1024,32,256,0.00%,1.8000us,,,,
matAddCol,1024,32,32,0.00%,1.9000us,,,,
matAddCol,1024,32,4096,0.00%,2.6000us,,,,
matAddCol,1024,32,512,0.00%,1.7000us,,,,
matAddCol,1024,32,64,0.00%,1.6000us,,,,
matAddCol,1024,32,8192,0.00%,2.1000us,,,,
matAddCol,128,32,1024,0.00%,2.3000us,,,,
matAddCol,128,32,128,0.00%,2.3000us,,,,
matAddCol,128,32,16,0.00%,1.6000us,,,,
matAddCol,128,32,2048,0.00%,2.0000us,,,,
matAddCol,128,32,256,0.00%,1.8000us,,,,
matAddCol,128,32,32,0.00%,2.5000us,,,,
matAddCol,128,32,4096,0.00%,1.8000us,,,,
matAddCol,128,32,512,0.00%,1.5000us,,,,
matAddCol,128,32,64,0.00%,2.3000us,,,,
matAddCol,128,32,8192,0.00%,1.2000us,,,,
matAddCol,4,32,1024,0.00%,1.9000us,,,,
matAddCol,4,32,128,0.00%,1.3000us,,,,
matAddCol,4,32,16,0.00%,2.1000us,,,,
matAddCol,4,32,2048,0.00%,1.7000us,,,,
matAddCol,4,32,256,0.00%,1.8000us,,,,
matAddCol,4,32,32,0.00%,2.0000us,,,,
matAddCol,4,32,4096,0.00%,2.4000us,,,,
matAddCol,4,32,512,0.00%,1.2000us,,,,
matAddCol,4,32,64,0.00%,2.0000us,,,,
matAddCol,4,32,8192,0.00%,1.7000us,,,,
matAddRow,1024,32,8192,0.00%,1.9000us,,,,
matAddRow,128,32,1024,0.00%,1.5000us,,,,
matAddRow,128,32,128,0.00%,2.4000us,,,,
matAddRow,128,32,16,0.00%,1.7000us,,,,
matAddRow,128,32,2048,0.00%,1.4000us,,,,
matAddRow,128,32,256,0.00%,1.7000us,,,,
matAddRow,128,32,32,0.00%,1.6000us,,,,
matAddRow,128,32,4096,0.00%,1.7000us,,,,
matAddRow,128,32,512,0.00%,2.6000us,,,,
matAddRow,128,32,64,0.00%,2.0000us,,,,
matAddRow,128,32,8192,0.00%,1.8000us,,,,
matAddRow,4,32,1024,0.00%,2.3000us,,,,
matAddRow,4,32,128,0.00%,1.3000us,,,,
matAddRow,4,32,16,0.00%,2.0000us,,,,
matAddRow,4,32,2048,0.00%,1.7000us,,,,
matAddRow,4,32,256,0.00%,1.5000us,,,,
matAddRow,4,32,32,0.00%,1.7000us,,,,
matAddRow,4,32,4096,0.00%,2.2000us,,,,
matAddRow,4,32,512,0.00%,1.1000us,,,,
matAddRow,4,32,64,0.00%,2.1000us,,,,
matAddRow,4,32,8192,0.00%,1.8000us,,,,
